AgroTrakName,Type,ai,CompTox.PREFERRED_NAME,cas.number,cas.number %in% ecotox.casList,inEcoTox
ALPHA-CYPERMETHRIN,Insecticide,ALPHA-CYPERMETHRIN,alpha-Cypermethrin,67375308,FALSE,FALSE
FENPYROXIMATE,Insecticide,FENPYROXIMATE,Fenpyroximate,134098616,TRUE,TRUE
DIFENOCONAZOLE,Fungicide,DIFENOCONAZOLE,Difenoconazole,119446683,TRUE,TRUE
ASPERGILLUS FLAVUS,Fungicide,ASPERGILLUS FLAVUS,NA,NA,FALSE,FALSE
CALCIUM POLYSULFIDE (F),Fungicide,CALCIUM POLYSULFIDE,Calcium polysulfide,1344816,TRUE,TRUE
PETROLEUM OIL (F),Fungicide,PETROLEUM OIL,"Distillates, petroleum, hydrotreated heavy paraffinic",64742547,FALSE,FALSE
NA,NA,PETROLEUM OIL,Petroleum,8002059,FALSE,FALSE
BIFENAZATE,Insecticide,BIFENAZATE,Bifenazate,149877418,TRUE,TRUE
CLOTHIANIDIN,Insecticide,CLOTHIANIDIN,Clothianidin,210880925,TRUE,TRUE
COPPER HYDROXIDE,Fungicide,COPPER HYDROXIDE,Copper hydroxide,12125212,FALSE,FALSE
COPPER OXYCHLORIDE,Fungicide,COPPER OXYCHLORIDE,Copper hydroxide (Cu(OH)2),20427592,FALSE,FALSE
NA,NA,COPPER OXYCHLORIDE,Dicopper chloride trihydroxide,1332656,FALSE,FALSE
BICYCLOPYRONE,Herbicide,BICYCLOPYRONE,Bicyclopyrone,352010685,TRUE,TRUE
BOSCALID,Fungicide,BOSCALID,Boscalid,188425856,TRUE,TRUE
FLUAZINAM,Fungicide,FLUAZINAM,Fluazinam,79622596,FALSE,FALSE
REYNOUTRIA SACHALINENSIS,Fungicide,REYNOUTRIA SACHALINENSIS,NA,NA,FALSE,FALSE
FLUPYRADIFURONE,Insecticide,FLUPYRADIFURONE,Flupyradifurone,951659408,TRUE,TRUE
SULFOXAFLOR,Insecticide,SULFOXAFLOR,Sulfoxaflor,946578003,TRUE,TRUE
BENZOVINDIFLUPYR,Fungicide,BENZOVINDIFLUPYR,Benzovindiflupyr,1072957711,TRUE,TRUE
PIPERONYL BUTOXIDE,Insecticide,PIPERONYL BUTOXIDE,Piperonyl butoxide,51036,TRUE,TRUE
BACILLUS AMYLOLIQUEFACIEN,Fungicide,BACILLUS AMYLOLIQUEFACIEN,NA,NA,FALSE,FALSE
PENTHIOPYRAD,Fungicide,PENTHIOPYRAD,Penthiopyrad,183675823,TRUE,TRUE
ACETAMIPRID,Insecticide,ACETAMIPRID,Acetamiprid,135410207,TRUE,TRUE
HALAUXIFEN,Herbicide,HALAUXIFEN,4-Amino-3-chloro-6-(4-chloro-2-fluoro-3-methoxyphenyl)-2-pyridinecarboxylic acid,943832608,FALSE,FALSE
CYFLUMETOFEN,Insecticide,CYFLUMETOFEN,Cyflumetofen,400882077,FALSE,FALSE
POLYHEDROSIS VIRUS,Insecticide,POLYHEDROSIS VIRUS,NA,NA,FALSE,FALSE
MEFENTRIFLUCONAZOLE,Fungicide,MEFENTRIFLUCONAZOLE,Mefentrifluconazole,1417782036,TRUE,TRUE
PYDIFLUMETOFEN,Fungicide,PYDIFLUMETOFEN,Pydiflumetofen,1228284647,TRUE,TRUE
TOLPYRALATE,Herbicide,TOLPYRALATE,Tolpyralate,1101132675,TRUE,TRUE
BIXAFEN,Fungicide,BIXAFEN,Bixafen,581809463,TRUE,TRUE
AFIDOPYROPEN,Insecticide,AFIDOPYROPEN,Afidopyropen,915972177,TRUE,TRUE
FLUOPYRAM,Fungicide,FLUOPYRAM,Fluopyram,658066354,TRUE,TRUE
NOVALURON,Insecticide,NOVALURON,Novaluron,116714466,TRUE,TRUE
